Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
26/Oct/2019 17:25:07,Cy-4,MO,32352e382c2039303633322c20203933312c202033362e3834332c2d3132312e3433372c20203839322c352c30,"36.8419,-121.4487","25.8, 90632,  931,  36.843,-121.437,  892,5,0",45,1
26/Oct/2019 17:14:58,Cy-4,MO,32352e342c3130303338352c20202037392c202033362e3834392c2d3132312e3433332c20202037342c352c30,"36.863566666666664,-121.38701666666667","25.4,100385,   79,  36.849,-121.433,   74,5,0",45,1
26/Oct/2019 17:04:47,Cy-4,MO,32352e312c3130303333352c20202038332c202033362e3834392c2d3132312e3433342c20202038322c352c30,"36.8275,-121.32535","25.1,100335,   83,  36.849,-121.434,   82,5,0",45,1
26/Oct/2019 16:54:36,Cy-4,MO,32342e382c3130303337392c20202037392c202033362e3834392c2d3132312e3433342c20202039332c352c30,"36.86033333333334,-121.22536666666667","24.8,100379,   79,  36.849,-121.434,   93,5,0",45,1
26/Oct/2019 16:44:16,Cy-4,MO,32332e392c3130303430342c20202037372c202033362e3834392c2d3132312e3433342c20202037342c352c30,"36.8666,-121.5487","23.9,100404,   77,  36.849,-121.434,   74,5,0",45,1
26/Oct/2019 16:33:08,Cy-4,MO,32332e332c3130303431342c20202037362c202033362e3834392c2d3132312e3433342c20202037342c352c30,"36.816266666666664,-121.36366666666666","23.3,100414,   76,  36.849,-121.434,   74,5,0",45,1
26/Oct/2019 16:22:56,Cy-4,MO,32322e372c3130303433312c20202037352c202033362e3834392c2d3132312e3433342c20202037312c352c30,"36.87075,-121.4487","22.7,100431,   75,  36.849,-121.434,   71,5,0",45,1
26/Oct/2019 16:12:40,Cy-4,MO,32322e312c3130303432342c20202037352c202033362e3834392c2d3132312e3433342c20202037322c302c30,"36.87075,-121.4487","22.1,100424,   75,  36.849,-121.434,   72,0,0",45,1
26/Oct/2019 16:11:12,Cy-4,MT,050a,,,2,1
26/Oct/2019 16:08:31,Cy-4,MO,32312e362c3130303432352c20202037352c202033362e3834392c2d3132312e3433342c20202037312c302c30,"36.82345,-121.4253","21.6,100425,   75,  36.849,-121.434,   71,0,0",45,1
